Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,A, 17,H,    7, 0.65, 0.65,   160.50,"0/0"
208,1264,A, 17,H,CC(7), 0.10, 0.10,   161.15,"1/0 All to PAL."
208,1264,A, 18,H,    1, 1.50, 1.50,   161.30,
208,1264,A, 18,H,    2, 1.50, 1.50,   162.80,
208,1264,A, 18,H,    3, 1.50, 1.50,   164.30,
208,1264,A, 18,H,    4, 1.50, 1.50,   165.80,
208,1264,A, 18,H,    5, 1.50, 1.50,   167.30,
208,1264,A, 18,H,    6, 1.50, 1.50,   168.80,
208,1264,A, 18,H,    7, 0.63, 0.63,   170.30,
208,1264,A, 18,H,CC(N), 0.10, 0.10,   170.93,"0/0 All to PAL."
208,1264,A, 19,H,    1, 1.50, 1.50,   170.80,
208,1264,A, 19,H,    2, 1.50, 1.50,   172.30,
208,1264,A, 19,H,    3, 1.50, 1.50,   173.80,
208,1264,A, 19,H,    4, 1.50, 1.50,   175.30,
208,1264,A, 19,H,    5, 1.50, 1.50,   176.80,
208,1264,A, 19,H,    6, 1.35, 1.35,   178.30,
208,1264,A, 19,H,   CC, 0.16, 0.16,   179.65,
208,1264,A, 20,H,    1, 1.50, 1.50,   180.30,
208,1264,A, 20,H,    2, 1.50, 1.50,   181.80,
208,1264,A, 20,H,    3, 1.50, 1.50,   183.30,
208,1264,A, 20,H,    4, 1.50, 1.50,   184.80,
208,1264,A, 20,H,    5, 1.50, 1.50,   186.30,
208,1264,A, 20,H,    6, 1.50, 1.50,   187.80,
208,1264,A, 20,H,    7, 0.79, 0.79,   189.30,
208,1264,A, 20,H,   CC, 0.13, 0.13,   190.09,
208,1264,A, 21,H,    1, 1.50, 1.50,   189.80,
208,1264,A, 21,H,    2, 1.50, 1.50,   191.30,
208,1264,A, 21,H,    3, 1.50, 1.50,   192.80,
208,1264,A, 21,H,    4, 1.50, 1.50,   194.30,
208,1264,A, 21,H,    5, 1.50, 1.50,   195.80,
208,1264,A, 21,H,    6, 1.39, 1.39,   197.30,"0/0"
208,1264,A, 21,H,   CC, 0.18, 0.18,   198.69,
208,1264,A, 22,H,    1, 1.50, 1.50,   199.30,
208,1264,A, 22,H,    2, 1.50, 1.50,   200.80,
208,1264,A, 22,H,    3, 1.50, 1.50,   202.30,
208,1264,A, 22,H,    4, 1.50, 1.50,   203.80,
208,1264,A, 22,H,    5, 1.50, 1.50,   205.30,
208,1264,A, 22,H,    6, 1.50, 1.50,   206.80,
208,1264,A, 22,H,    7, 0.48, 0.48,   208.30,
208,1264,A, 22,H,CC(7), 0.19, 0.19,   208.78,
208,1264,A, 23,H,    1, 1.50, 1.50,   208.80,
208,1264,A, 23,H,    2, 1.50, 1.50,   210.30,
208,1264,A, 23,H,    3, 1.50, 1.50,   211.80,
208,1264,A, 23,H,    4, 1.50, 1.50,   213.30,
208,1264,A, 23,H,    5, 1.50, 1.50,   214.80,
208,1264,A, 23,H,    6, 1.20, 1.20,   216.30,
208,1264,A, 23,H,    7, 0.72, 0.72,   217.50,
208,1264,A, 23,H,CC(7), 0.15, 0.15,   218.22,
208,1264,A, 24,H,    1, 1.50, 1.50,   218.30,
208,1264,A, 24,H,    2, 1.50, 1.50,   219.80,
208,1264,A, 24,H,    3, 1.50, 1.50,   221.30,
208,1264,A, 24,H,    4, 1.50, 1.50,   222.80,
208,1264,A, 24,H,    5, 1.50, 1.50,   224.30,
208,1264,A, 24,H,    6, 1.50, 1.50,   225.80,
208,1264,A, 24,H,    7, 0.75, 0.75,   227.30,
208,1264,A, 24,H,CC(7), 0.25, 0.25,   228.05,
208,1264,A, 25,H,    1, 1.50, 1.50,   227.80,
208,1264,A, 25,H,    2, 1.50, 1.50,   229.30,
