XDIS-ASCII-Export of ASP.webview_sections_view_aspx, created on 11/16/2017 1:20:38 PM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	SECTION_LABEL	INIT_LENGTH	REV_LENGTH	TOP_DEPTH	BOTTOM_DEPTH	MCD_TOP	ANALYST	IGSN	REMARKS	CC	
208	1264	B	17	H	7	1.07	1.07	158.3	159.37	176.89	na	&nbsp;	                                             	no	
208	1264	B	17	H	CC	0.1	0.1	159.37	159.47	177.96	na	&nbsp;	                                             	yes	
208	1264	B	18	H	1	1.5	1.5	159.3	160.8	178.93	na	&nbsp;	                                             	no	
208	1264	B	18	H	2	1.5	1.5	160.8	162.3	180.43	na	&nbsp;	                                             	no	
208	1264	B	18	H	3	1.5	1.5	162.3	163.8	181.93	na	&nbsp;	                                             	no	
208	1264	B	18	H	4	1.5	1.5	163.8	165.3	183.43	na	&nbsp;	                                             	no	
208	1264	B	18	H	5	1.5	1.5	165.3	166.8	184.93	na	&nbsp;	                                             	no	
208	1264	B	18	H	6	1.2	1.2	166.8	168	186.43	na	&nbsp;	                                             	no	
208	1264	B	18	H	7	1	1	168	169	187.63	na	&nbsp;	                                             	no	
208	1264	B	18	H	CC	0.18	0.18	169	169.18	188.63	na	&nbsp;	                                             	yes	
208	1264	B	19	H	1	1.5	1.5	168.8	170.3	189.59	na	&nbsp;	                                             	no	
208	1264	B	19	H	2	1.5	1.5	170.3	171.8	191.09	na	&nbsp;	                                             	no	
208	1264	B	19	H	3	1.5	1.5	171.8	173.3	192.59	na	&nbsp;	                                             	no	
208	1264	B	19	H	4	1.5	1.5	173.3	174.8	194.09	na	&nbsp;	                                             	no	
208	1264	B	19	H	5	1.5	1.5	174.8	176.3	195.59	na	&nbsp;	                                             	no	
208	1264	B	19	H	6	1.2	1.2	176.3	177.5	197.09	na	&nbsp;	                                             	no	
208	1264	B	19	H	7	0.75	0.75	177.5	178.25	198.29	na	&nbsp;	                                             	no	
208	1264	B	19	H	CC	0.24	0.24	178.25	178.49	199.04	na	&nbsp;	                                             	yes	
208	1264	B	20	H	1	1.5	1.5	178.3	179.8	199.71	na	&nbsp;	                                             	no	
208	1264	B	20	H	2	1.5	1.5	179.8	181.3	201.21	na	&nbsp;	                                             	no	
