XDIS-ASCII-Export of ASP.webview_cores_view_aspx, created on 11/15/2017 11:08:26 AM, SEPARATOR:TAB

EXPEDITION	SITE	HOLE	CORE	CORE_TYPE	TOP_DEPTH	DRILLED_LENGTH	BOTTOM_DEPTH	MCD_OFFSET	CORE_RECOVERY	CORE_RECOVERY_PC	CORE_ONDECK	ORIENTED	LAST_SECTION	CORE_CATCHER	ANALYST	IGSN	REMARKS	
105	647	A	17	R	154.8	9.3	164.1	0	7.86	84.52	10/16/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	18	R	164.1	9.7	173.8	0	2.42	24.95	10/17/1985 12:00:00 AM	&nbsp;	2	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	19	R	173.8	9.7	183.5	0	8.85	91.24	10/17/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	20	R	183.5	9.6	193.1	0	7.99	83.23	10/17/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	21	R	193.1	9.6	202.7	0	5.6	58.33	10/17/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	22	R	202.7	9.6	212.3	0	0.16	1.67	10/17/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	23	R	212.3	9.6	221.9	0	9.52	99.17	10/17/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	24	R	221.9	9.6	231.5	0	5.6	58.33	10/17/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	25	R	231.5	9.6	241.1	0	8.64	90	10/17/1985 12:00:00 AM	&nbsp;	7	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	26	R	241.1	9.3	250.4	0	1.23	13.23	10/17/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	27	R	250.4	9.7	260.1	0	9.22	95.05	10/17/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	28	R	260.1	9.6	269.7	0	9.71	101.15	10/17/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	29	R	269.7	9.7	279.4	0	9	92.78	10/17/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	30	R	279.4	9.6	289	0	9.72	101.25	10/17/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	31	R	289	9.6	298.6	0	2.78	28.96	10/18/1985 12:00:00 AM	&nbsp;	3	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	32	R	298.6	9.7	308.3	0	2.04	21.03	10/18/1985 12:00:00 AM	&nbsp;	2	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	33	R	308.3	9.7	318	0	2.36	24.33	10/18/1985 12:00:00 AM	&nbsp;	2	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	34	R	318	9.6	327.6	0	1.46	15.21	10/18/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	35	R	327.6	9.6	337.2	0	5.1	53.12	10/18/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	36	R	337.2	9.5	346.7	0	6	63.16	10/18/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	37	R	346.7	9.7	356.4	0	5.63	58.04	10/18/1985 12:00:00 AM	&nbsp;	4	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	38	R	356.4	9.7	366.1	0	9.74	100.41	10/18/1985 12:00:00 AM	&nbsp;	8	yes	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	39	R	366.1	9.6	375.7	0	4.12	42.92	10/18/1985 12:00:00 AM	&nbsp;	3	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	40	R	375.7	9.7	385.4	0	0.25	2.58	10/18/1985 12:00:00 AM	&nbsp;	1	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	41	R	385.4	9.7	395.1	0	8.93	92.06	10/18/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	42	R	395.1	9.7	404.8	0	9.63	99.28	10/18/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	43	R	404.8	9.7	414.5	0	9.43	97.22	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	44	R	414.5	9.6	424.1	0	8.98	93.54	10/19/1985 12:00:00 AM	&nbsp;	6	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	45	R	424.1	9.7	433.8	0	4.48	46.19	10/19/1985 12:00:00 AM	&nbsp;	5	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	46	R	433.8	9.7	443.5	0	9.67	99.69	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	47	R	443.5	9.7	453.2	0	9.29	95.77	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
105	647	A	48	R	453.2	9.6	462.8	0	9.67	100.73	10/19/1985 12:00:00 AM	&nbsp;	7	no	na	&nbsp;	                                                                                                                                                                                                                                                               	
